qid,domain,model,setting,em_majority,f1_median,latency_median_ms,refusal_any,invalid_any,stability_mad_f1
LIT002,literature,gpt4o,gold,1,1.0,782.0,0,0,0.0
LIT002,literature,gpt4o,para,1,1.0,919.0,0,0,0.0
LIT002,literature,gpt4o,para_dist,1,1.0,1029.0,0,0,0.0
LIT003,literature,gpt4o,dist,1,1.0,922.0,0,0,0.0
LIT003,literature,gpt4o,gold,1,1.0,911.0,0,0,0.0
LIT003,literature,gpt4o,para,1,1.0,1128.0,0,0,0.0
LIT003,literature,gpt4o,para_dist,1,1.0,738.0,0,0,0.0
LIT004,literature,gpt4o,dist,1,1.0,717.0,0,0,0.0
LIT004,literature,gpt4o,gold,1,1.0,658.0,0,0,0.0
LIT004,literature,gpt4o,para,1,1.0,699.0,0,0,0.0
LIT004,literature,gpt4o,para_dist,1,1.0,1027.0,0,0,0.0
LIT005,literature,gpt4o,dist,1,1.0,881.0,0,0,0.0
LIT005,literature,gpt4o,gold,1,1.0,714.0,0,0,0.0
LIT005,literature,gpt4o,para,1,1.0,690.0,0,0,0.0
LIT005,literature,gpt4o,para_dist,1,1.0,799.0,0,0,0.0
LIT006,literature,gpt4o,dist,1,1.0,1205.0,0,0,0.0
LIT006,literature,gpt4o,gold,1,1.0,917.0,0,0,0.0
LIT006,literature,gpt4o,para,1,1.0,616.0,0,0,0.0
LIT006,literature,gpt4o,para_dist,1,1.0,841.0,0,0,0.0
LIT007,literature,gpt4o,dist,1,1.0,826.0,0,0,0.0
LIT007,literature,gpt4o,gold,1,1.0,922.0,0,0,0.0
LIT007,literature,gpt4o,para,1,1.0,1121.0,0,0,0.0
LIT007,literature,gpt4o,para_dist,1,1.0,1127.0,0,0,0.0
LIT008,literature,gpt4o,dist,1,1.0,716.0,0,0,0.0
LIT008,literature,gpt4o,gold,1,1.0,1067.0,0,0,0.0
LIT008,literature,gpt4o,para,1,1.0,659.0,0,0,0.0
LIT008,literature,gpt4o,para_dist,1,1.0,822.0,0,0,0.0
LIT009,literature,gpt4o,dist,1,1.0,819.0,0,0,0.0
LIT009,literature,gpt4o,gold,1,1.0,829.0,0,0,0.0
LIT009,literature,gpt4o,para,1,1.0,714.0,0,0,0.0
LIT009,literature,gpt4o,para_dist,1,1.0,819.0,0,0,0.0
LIT010,literature,gpt4o,dist,1,1.0,509.0,0,0,0.0
LIT010,literature,gpt4o,gold,1,1.0,635.0,0,0,0.0
LIT010,literature,gpt4o,para,1,1.0,674.0,0,0,0.0
LIT010,literature,gpt4o,para_dist,1,1.0,687.0,0,0,0.0
POL001,politics,gpt4o,dist,1,1.0,757.0,0,0,0.0
POL001,politics,gpt4o,gold,1,1.0,694.0,0,0,0.0
POL001,politics,gpt4o,para,1,1.0,668.0,0,0,0.0
POL001,politics,gpt4o,para_dist,1,1.0,982.0,0,0,0.0
POL002,politics,gpt4o,dist,1,1.0,917.0,0,0,0.0
POL002,politics,gpt4o,gold,1,1.0,784.0,0,0,0.0
POL002,politics,gpt4o,para,1,1.0,774.0,0,0,0.0
POL002,politics,gpt4o,para_dist,1,1.0,615.0,0,0,0.0
POL003,politics,gpt4o,dist,0,0.33333333333333337,716.0,0,0,0.0
POL003,politics,gpt4o,gold,0,0.33333333333333337,688.0,0,0,0.0
POL003,politics,gpt4o,para,0,0.33333333333333337,817.0,0,0,0.0
POL003,politics,gpt4o,para_dist,0,0.2857142857142857,976.0,0,0,0.0
POL004,politics,gpt4o,dist,0,0.4,924.0,0,0,0.0
POL004,politics,gpt4o,gold,0,0.4,724.0,0,0,0.0
POL004,politics,gpt4o,para,0,0.5,926.0,0,0,0.0
POL004,politics,gpt4o,para_dist,0,0.4,924.0,0,0,0.0
POL005,politics,gpt4o,dist,1,1.0,847.0,0,0,0.0
POL005,politics,gpt4o,gold,1,1.0,816.0,0,0,0.0
POL005,politics,gpt4o,para,1,1.0,890.0,0,0,0.0
POL005,politics,gpt4o,para_dist,1,1.0,931.0,0,0,0.0
POL006,politics,gpt4o,dist,1,1.0,518.0,0,0,0.0
POL006,politics,gpt4o,gold,1,1.0,811.0,0,0,0.0
POL006,politics,gpt4o,para,1,1.0,609.0,0,0,0.0
POL006,politics,gpt4o,para_dist,1,1.0,814.0,0,0,0.0
POL007,politics,gpt4o,dist,0,0.8,1896.0,0,0,0.0
POL007,politics,gpt4o,gold,1,1.0,737.0,0,0,0.0
POL007,politics,gpt4o,para,1,1.0,610.0,0,0,0.0
POL007,politics,gpt4o,para_dist,0,0.8,1023.0,0,0,0.0
POL008,politics,gpt4o,dist,1,1.0,1160.0,0,0,0.0
POL008,politics,gpt4o,gold,1,1.0,819.0,0,0,0.0
POL008,politics,gpt4o,para,1,1.0,716.0,0,0,0.0
