qid,domain,model,setting,em_majority,f1_median,latency_median_ms,refusal_any,invalid_any,stability_mad_f1
POL003,politics,gpt4o,gold,0,0.33333333333333337,873.0,0,0,0.0
POL003,politics,gpt4o,para,0,0.2857142857142857,705.0,0,0,0.0
POL003,politics,gpt4o,para_dist,0,0.2857142857142857,716.0,0,0,0.0
POL004,politics,gpt4o,dist,0,0.4,859.0,0,0,0.0
POL004,politics,gpt4o,gold,0,0.4,779.0,0,0,0.0
POL004,politics,gpt4o,para,0,0.5,699.0,0,0,0.0
POL004,politics,gpt4o,para_dist,0,0.4,716.0,0,0,0.0
POL005,politics,gpt4o,dist,1,1.0,554.0,0,0,0.0
POL005,politics,gpt4o,gold,1,1.0,706.0,0,0,0.0
POL005,politics,gpt4o,para,1,1.0,672.0,0,0,0.0
POL005,politics,gpt4o,para_dist,1,1.0,622.0,0,0,0.0
POL006,politics,gpt4o,dist,1,1.0,726.0,0,0,0.0
POL006,politics,gpt4o,gold,1,1.0,738.0,0,0,0.0
POL006,politics,gpt4o,para,1,1.0,805.0,0,0,0.0
POL006,politics,gpt4o,para_dist,1,1.0,708.0,0,0,0.0
POL007,politics,gpt4o,dist,1,1.0,1079.0,0,0,0.0
POL007,politics,gpt4o,gold,0,0.8,784.0,0,0,0.0
POL007,politics,gpt4o,para,1,1.0,822.0,0,0,0.0
POL007,politics,gpt4o,para_dist,0,0.8,621.0,0,0,0.0
POL008,politics,gpt4o,dist,1,1.0,724.0,0,0,0.0
POL008,politics,gpt4o,gold,1,1.0,656.0,0,0,0.0
POL008,politics,gpt4o,para,1,1.0,781.0,0,0,0.0
POL008,politics,gpt4o,para_dist,1,1.0,636.0,0,0,0.0
POL009,politics,gpt4o,dist,1,1.0,740.0,0,0,0.0
POL009,politics,gpt4o,gold,1,1.0,695.0,0,0,0.0
POL009,politics,gpt4o,para,1,1.0,691.0,0,0,0.0
POL009,politics,gpt4o,para_dist,1,1.0,800.0,0,0,0.0
POL010,politics,gpt4o,dist,1,1.0,598.0,0,0,0.0
POL010,politics,gpt4o,gold,1,1.0,792.0,0,0,0.0
POL010,politics,gpt4o,para,1,1.0,650.0,0,0,0.0
POL010,politics,gpt4o,para_dist,1,1.0,623.0,0,0,0.0
SCI001,science,gpt4o,dist,1,1.0,712.0,0,0,0.0
SCI001,science,gpt4o,gold,1,1.0,718.0,0,0,0.0
SCI001,science,gpt4o,para,1,1.0,683.0,0,0,0.0
SCI001,science,gpt4o,para_dist,1,1.0,750.0,0,0,0.0
SCI002,science,gpt4o,dist,1,1.0,602.0,0,0,0.0
SCI002,science,gpt4o,gold,1,1.0,717.0,0,0,0.0
SCI002,science,gpt4o,para,1,1.0,624.0,0,0,0.0
SCI002,science,gpt4o,para_dist,1,1.0,611.0,0,0,0.0
SCI003,science,gpt4o,dist,0,0.8,886.0,0,0,0.0
SCI003,science,gpt4o,gold,0,0.8,721.0,0,0,0.0
SCI003,science,gpt4o,para,0,0.8,962.0,0,0,0.0
SCI003,science,gpt4o,para_dist,0,0.8,715.0,0,0,0.0
SCI004,science,gpt4o,dist,1,1.0,663.0,0,0,0.0
SCI004,science,gpt4o,gold,1,1.0,821.0,0,0,0.0
SCI004,science,gpt4o,para,1,1.0,587.0,0,0,0.0
SCI004,science,gpt4o,para_dist,1,1.0,638.0,0,0,0.0
SCI005,science,gpt4o,dist,1,1.0,658.0,0,0,0.0
SCI005,science,gpt4o,gold,1,1.0,699.0,0,0,0.0
SCI005,science,gpt4o,para,1,1.0,724.0,0,0,0.0
SCI005,science,gpt4o,para_dist,1,1.0,803.0,0,0,0.0
SCI006,science,gpt4o,dist,1,1.0,726.0,0,0,0.0
SCI006,science,gpt4o,gold,1,1.0,723.0,0,0,0.0
SCI006,science,gpt4o,para,1,1.0,589.0,0,0,0.0
SCI006,science,gpt4o,para_dist,1,1.0,710.0,0,0,0.0
SCI007,science,gpt4o,dist,1,1.0,686.0,0,0,0.0
SCI007,science,gpt4o,gold,1,1.0,690.0,0,0,0.0
SCI007,science,gpt4o,para,1,1.0,543.0,0,0,0.0
SCI007,science,gpt4o,para_dist,1,1.0,631.0,0,0,0.0
SCI008,science,gpt4o,dist,1,1.0,770.0,0,0,0.0
SCI008,science,gpt4o,gold,1,1.0,868.0,0,0,0.0
SCI008,science,gpt4o,para,1,1.0,667.0,0,0,0.0
SCI008,science,gpt4o,para_dist,1,1.0,648.0,0,0,0.0
SCI009,science,gpt4o,dist,1,1.0,536.0,0,0,0.0
SCI009,science,gpt4o,gold,1,1.0,682.0,0,0,0.0
SCI009,science,gpt4o,para,1,1.0,702.0,0,0,0.0
SCI009,science,gpt4o,para_dist,1,1.0,720.0,0,0,0.0
SCI010,science,gpt4o,dist,0,0.6666666666666666,655.0,0,0,0.0
SCI010,science,gpt4o,gold,0,0.6666666666666666,755.0,0,0,0.0
SCI010,science,gpt4o,para,0,0.6666666666666666,671.0,0,0,0.0
SCI010,science,gpt4o,para_dist,0,0.6666666666666666,822.0,0,0,0.0
