qid,domain,model,setting,em_majority,f1_median,latency_median_ms,refusal_any,invalid_any,stability_mad_f1
LIT002,literature,llama31_8b,para_dist,1,1.0,857.0,0,0,0.0
LIT003,literature,llama31_8b,dist,1,1.0,867.0,0,0,0.0
LIT003,literature,llama31_8b,gold,1,1.0,984.0,0,0,0.0
LIT003,literature,llama31_8b,para,1,1.0,728.0,0,0,0.0
LIT003,literature,llama31_8b,para_dist,1,1.0,1024.0,0,0,0.0
LIT004,literature,llama31_8b,dist,1,1.0,822.0,0,0,0.0
LIT004,literature,llama31_8b,gold,1,1.0,884.0,0,0,0.0
LIT004,literature,llama31_8b,para,1,1.0,769.0,0,0,0.0
LIT004,literature,llama31_8b,para_dist,1,1.0,1026.0,0,0,0.0
LIT005,literature,llama31_8b,dist,1,1.0,869.0,0,0,0.0
LIT005,literature,llama31_8b,gold,1,1.0,920.0,0,0,0.0
LIT005,literature,llama31_8b,para,1,1.0,896.0,0,0,0.0
LIT005,literature,llama31_8b,para_dist,1,1.0,819.0,0,0,0.0
LIT006,literature,llama31_8b,dist,1,1.0,942.0,0,0,0.0
LIT006,literature,llama31_8b,gold,1,1.0,918.0,0,0,0.0
LIT006,literature,llama31_8b,para,1,1.0,948.0,0,0,0.0
LIT006,literature,llama31_8b,para_dist,1,1.0,975.0,0,0,0.0
LIT007,literature,llama31_8b,dist,1,1.0,820.0,0,0,0.0
LIT007,literature,llama31_8b,gold,1,1.0,1024.0,0,0,0.0
LIT007,literature,llama31_8b,para,1,1.0,902.0,0,0,0.0
LIT007,literature,llama31_8b,para_dist,1,1.0,1021.0,0,0,0.0
LIT008,literature,llama31_8b,dist,1,1.0,925.0,0,0,0.0
LIT008,literature,llama31_8b,gold,1,1.0,760.0,0,0,0.0
LIT008,literature,llama31_8b,para,1,1.0,922.0,0,0,0.0
LIT008,literature,llama31_8b,para_dist,1,1.0,887.0,0,0,0.0
LIT009,literature,llama31_8b,dist,1,1.0,921.0,0,0,0.0
LIT009,literature,llama31_8b,gold,1,1.0,954.0,0,0,0.0
LIT009,literature,llama31_8b,para,1,1.0,855.0,0,0,0.0
LIT009,literature,llama31_8b,para_dist,1,1.0,823.0,0,0,0.0
LIT010,literature,llama31_8b,dist,1,1.0,773.0,0,0,0.0
LIT010,literature,llama31_8b,gold,1,1.0,840.0,0,0,0.0
LIT010,literature,llama31_8b,para,1,1.0,896.0,0,0,0.0
LIT010,literature,llama31_8b,para_dist,1,1.0,898.0,0,0,0.0
POL001,politics,llama31_8b,dist,1,1.0,914.0,0,0,0.0
POL001,politics,llama31_8b,gold,1,1.0,824.0,0,0,0.0
POL001,politics,llama31_8b,para,1,1.0,888.0,0,0,0.0
POL001,politics,llama31_8b,para_dist,1,1.0,755.0,0,0,0.0
